100,41
69,22
31,21
48,75
63,51
33,39
54,78
66,46
37,27
42,59
80,75
51,72
83,85
47,94
40,3
97,83
8,72
76,86
25,23
59,24
66,71
88,79
21,14
25,65
40,43
93,58
15,23
47,18
53,76
45,29
76,77
75,78
84,28
1,79
54,88
30,84
93,57
22,79
37,49
2,11
84,60
41,38
2,71
50,13
89,15
95,64
89,50
12,37
20,40
96,48
8,11
90,99
62,67
6,81
29,100
70,15
47,98
49,50
33,74
68,51
67,91
64,34
37,52
87,99
30,7
9,78
7,81
74,56
52,99
59,75
97,4
16,11
32,29
36,99
55,40
61,74
93,73
64,57
98,85
5,49
41,40
97,35
21,26
17,21
10,49
14,98
61,82
19,67
55,44
92,49
86,81
