21,17
72,34
56,74
75,78
14,21
67,62
5,49
84,28
55,44
66,71
87,99
52,37
95,64
9,78
3,40
76,77
75,48
23,25
32,29
30,84
89,50
47,18
66,46
35,14
2,71
16,11
97,35
50,13
76,86
61,82
93,57
89,15
81,6
76,53
97,83
11,2
69,22
99,90
91,67
68,51
80,75
84,60
52,99
59,75
100,41
79,22
14,98
26,21
24,59
7,81
4,97
47,94
98,85
67,74
54,78
33,39
50,49
64,34
63,51
20,40
19,67
49,10
8,72
100,29
38,41
83,85
65,25
73,93
30,7
47,98
79,88
86,81
33,74
37,49
15,23
92,49
48,96
54,88
79,1
79,99
40,55
36,99
59,42
57,64
84,67
40,41
93,58
51,72
8,11
43,40
31,21
61,74
29,45
15,70
27,37
37,12
