72,73
71,99
30,26
53,52
64,83
64,93
2,16
92,66
64,61
15,8
10,6
78,62
70,65
36,37
64,67
50,28
95,63
41,33
55,54
96,90
57,51
76,74
12,15
80,90
44,41
80,91
79,84
6,17
97,63
25,44
28,37
92,69
83,67
81,87
74,93
34,38
13,12
32,49
55,56
45,37
59,57
46,49
55,51
42,28
84,100
1,16
67,93
83,87
98,91
72,91
4,3
33,35
11,19
55,59
3,11
37,50
91,100
29,33
26,22
46,42
78,75
1,12
82,66
37,43
17,19
58,54
46,24
40,35
65,87
2,19
94,93
97,71
85,91
75,67
33,42
13,3
15,17
58,51
90,100
49,22
10,15
18,12
17,9
73,77
79,96
34,48
16,6
99,78
55,53
52,54
36,23
60,59
55,52
11,5
71,63
35,25
66,64
84,86
21,50
57,58
30,25
81,65
48,35
13,17
52,56
23,42
57,55
70,97
16,9
39,22
86,91
85,98
21,24
96,86
95,64
89,75
60,58
96,63
93,79
94,79
77,100
67,80
40,33
87,77
27,35
75,88
34,49
52,57
38,30
97,92
75,70
4,9
81,84
22,43
21,40
89,88
90,99
26,46
39,23
72,98
4,18
49,27
97,65
53,54
10,11
94,95
76,98
61,77
32,35
25,37
47,29
45,35
92,90
60,56
11,16
31,33
14,1
93,69
36,31
20,18
60,54
64,96
73,79
82,83
13,5
39,21
27,41
2,17
30,50
47,38
84,61
18,7
14,18
49,48
39,42
65,68
80,66
36,24
97,73
71,65
26,41
26,50
86,100
8,16
20,11
47,27
88,100
91,88
26,39
95,99
87,68
45,33
88,73
29,36
27,43
23,31
7,15
69,97
96,93
85,77
48,21
11,8
62,89
88,92
76,70
67,68
2,14
24,32
66,100
99,68
86,72
59,53
98,69
58,53
39,44
79,77
35,49
66,94
22,47
77,82
27,36
65,62
95,74
19,3
95,62
74,69
46,41
95,75
30,40
33,34
41,21
43,35
39,30
27,26
75,76
94,99
23,29
5,17
54,51
68,80
42,24
95,70
97,86
68,75
29,24
34,32
85,69
44,33
40,49
67,62
8,4
90,83
12,10
24,38
24,31
1,5
72,97
39,48
70,78
2,8
64,63
73,76
91,61
9,8
42,35
77,72
